MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
4561843.56;17.75;473;Nacional;11657.48462;724469.697;C;Tarjeta;No;No;No;R0;36;Soltero;0;No
2961053.4;17.75;474.6666667;Nacional;14176.89615;462045.4545;A;Tarjeta;No;No;Si;R1;36.5;Soltero;6532.984;No
1972884.58;17.25;475.3333333;Nacional;17155;310530.303;B;Tarjeta;Si;No;No;R0;38.5;Soltero;14150.085;No
1971890.92;17.25;474.6666667;Nacional;17471.93462;310530.303;B;Tarjeta;No;No;No;R0;32;Soltero;6342.752;No
2873731.16;17.75;473;Nacional;23487.28462;462045.4545;B;Tarjeta;Si;No;Si;R1;32.5;Soltero;0;No
1490830.24;17.75;473;Nacional;10003.42692;310530.303;A;Tarjeta;Si;Si;No;R0;31.5;Soltero;7571.597;No
4431449.3;17.25;474.6666667;Nacional;18599.9;687500;A;Tarjeta;No;No;No;R0;35;Soltero;4829.349;No
4146854.32;17.25;474.6666667;Nacional;17727.17308;643863.6364;A;Tarjeta;No;No;Si;R2;32.5;Soltero;3869.578;No
1083178.8;17.25;474.6666667;Nacional;8332.223077;174166.6667;A;Tarjeta;Si;No;No;R0;35;Union;3851.171;No
3912733.96;17.25;474.6666667;Nacional;29713.60385;613560.6061;B;Tarjeta;Si;No;No;R0;33;Soltero;7176.755;No
5117520.42;12.25;475.3333333;Nacional;19256.15385;795378.7879;A;Tarjeta;Si;No;No;R0;36.5;Divorciado;4756.59;No
2960412.3;17.25;474.6666667;Nacional;23703.85385;462045.4545;B;Tarjeta;Si;Si;No;R0;33;Soltero;8200.99;No
7111360.72;17.25;474.6666667;Nacional;26818.01538;1098409.091;A;Tarjeta;No;No;No;R0;34.5;Soltero;4447.621;No
3949300.28;17.25;474.6666667;Nacional;17121.36154;613560.6061;A;Tarjeta;Si;No;Si;R7;34.5;Soltero;5777.27;No
5439912.1;17.75;471;Nacional;40385.46923;1007500;B;Tarjeta;Si;No;No;R0;46.5;Divorciado;0;No
1972884.58;17.25;474.6666667;Nacional;11060.56154;310530.303;A;Tarjeta;Si;No;No;R0;31;Soltero;6452.957;No
1083533.9;17.25;474.6666667;Nacional;8333.311538;174166.6667;A;Tarjeta;No;No;No;R0;32;Soltero;3621.992;No
2565758.76;17.25;474.6666667;Nacional;12878.64615;401439.3939;A;Tarjeta;Si;Si;Si;R1;33;Soltero;5081.201;No
4633188.92;17.75;471.3333333;Nacional;20457.13462;734772.7273;A;Tarjeta;No;No;No;R0;31.5;Soltero;7404.117;No
14217441.08;17.25;474.6666667;Nacional;94742.81923;2189318.182;B;Tarjeta;No;No;No;R0;36;Soltero;11575.159;No
